source,target
93892,95271
93892,127441
93892,83293
191915,57270
93892,177267
12218,172240
94076,95271
123801,132701
93892,32038
93892,32194
191915,191976
123801,123802
32464,14869
93892,16099
32464,183841
93892,95401
94076,177291
132421,90703
32464,16599
93892,16103
32464,14943
32464,90704
93212,95271
32464,59340
45299,106417
93892,177029
86167,71358
103725,75922
191915,32430
93212,177029
191915,155272
93212,105125
93892,31864
93892,16100
93892,4461
123801,172240
45299,103076
93892,95400
191915,25837
103725,186578
94076,177029
32464,89613
32464,171901
45299,119494
32464,18931
32464,42030
93892,194400
12218,119494
191915,92504
94076,177288
93892,95395
94340,90554
141736,171903
65314,119494
32464,22100
32464,171923
93892,27983
65314,141702
191915,93428
93892,32222
93892,194560
32464,147297
94076,32038
93892,41049
93892,95396
12218,155312
24031,26038
103725,14885
93892,32235
93892,127075
24031,25837
93892,44559
93892,28983
191915,31897
132421,195070
94076,32003
94076,177287
191915,90238
191915,46075
94931,25306
65314,30866
90910,155312
32464,14694
93212,93210
132421,18230
32464,90560
12218,116303
12218,80040
93892,169528
32464,89612
93892,104950
90910,119494
93892,59152
12218,20234
45299,155312
123801,92563
166175,38526
86777,19292
191915,26038
43267,90991
187282,192171
12218,133446
86777,16704
90910,52385
93892,171335
191915,103076
187282,95002
123801,175006
65314,155312
12218,16423
93892,177291
90910,141702
94076,17887
93892,171329
90910,59893
94076,83293
94076,177267
166175,85491
90910,115707
90910,171945
34798,14857
65314,91116
45299,45297
12218,90831
94076,57270
94076,177289
32464,75476
132421,4786
34798,18923
94730,25560
55306,95271
141736,177261
32464,14873
45299,45298
71029,177033
94730,95323
191915,155312
93892,83337
94076,132043
93892,83352
34798,23009
191915,57225
123801,123745
115343,91108
132421,131705
93892,32071
191915,15741
93892,145692
93892,75778
24031,18127
12218,92397
90910,169633
132421,94110
90910,52073
32464,158339
93212,141702
115343,95271
191915,119494
65314,128328
103725,16656
32464,84417
94076,98117
90910,52296
32464,16078
45299,143881
132421,160140
12218,90830
95248,95281
191915,18127
32464,34513
94076,31864
93892,134854
93892,92802
184768,95271
115343,17887
191915,91398
175013,132701
93892,93516
90910,69597
91532,93968
103725,67271
187360,90619
132421,177029
93892,95399
191915,57349
93212,32003
32464,95272
103725,92549
94076,119494
34798,144979
55306,177029
93892,155312
94340,36446
65314,119396
43267,127719
191915,92072
94076,32322
71029,91302
45299,94131
93892,18203
191915,17887
43267,26702
86777,152840
123943,95271
95248,171903
93892,93409
166175,93342
141736,119494
32464,151262
94076,156644
123943,123912
32464,172030
91532,14929
94076,27983
93892,119494
141736,24040
115343,17886
191915,68426
34798,94025
94076,16100
32464,151228
90910,125142
94730,172028
34798,27528
93892,169392
141736,22100
123943,93409
24031,191915
91532,14850
123943,177267
132421,132422
12218,4641
32464,141702
65314,155407
32464,16656
91532,87737
132421,160210
94076,50682
79039,79276
65314,90913
94076,4461
103725,186559
94076,155312
123801,132706
132421,94869
90910,115264
94076,104950
12218,92486
191915,156768
90910,24792
93892,4667
166175,38822
94340,172024
90910,115424
191915,57169
187282,187254
166175,3826
90910,24630
90910,187099
32464,155312
