src_comm_id,src_comm_title,dst_comm_id,dst_comm_title,result
301,"Cellular, Molecular and Genetic Boilogy",300,Micrology and Boichemistry,2.230385155168894
300,Micrology and Boichemistry,304,Nephrology and Biochemistry,1.4301940440351497
302,"Neuroscience, Cytology and Brain Science",300,Micrology and Boichemistry,1.233786139015793
304,Nephrology and Biochemistry,301,"Cellular, Molecular and Genetic Boilogy",1.214184272659312
204,Nanotechnology and Materical Chemistry,205,Organometallic and Medicinal Chemistry,1.0794797615118155
300,Micrology and Boichemistry,303,Immunology and Rheumatology,0.9690741795857354
203,Polymer and Pharmaceutical Science,204,Nanotechnology and Materical Chemistry,0.9026660304900319
204,Nanotechnology and Materical Chemistry,202,"Physical, Mathematical and Engineering Science",0.7786720111924644
201,Chemical Physic,205,Organometallic and Medicinal Chemistry,0.6084579498880636
300,Micrology and Boichemistry,306,Infectious Diseases and Virology,0.5868082161244311
300,Micrology and Boichemistry,15,Geomorphology,0.5843716258240329
300,Micrology and Boichemistry,406,"Biogeography, Ecology and Biology",0.584305629702486
201,Chemical Physic,204,Nanotechnology and Materical Chemistry,0.5717275115835175
301,"Cellular, Molecular and Genetic Boilogy",302,"Neuroscience, Cytology and Brain Science",0.5659615620828333
301,"Cellular, Molecular and Genetic Boilogy",303,Immunology and Rheumatology,0.558835967807307
204,Nanotechnology and Materical Chemistry,300,Micrology and Boichemistry,0.5321809774061258
302,"Neuroscience, Cytology and Brain Science",304,Nephrology and Biochemistry,0.5301855903304961
301,"Cellular, Molecular and Genetic Boilogy",306,Infectious Diseases and Virology,0.49409198911653335
201,Chemical Physic,202,"Physical, Mathematical and Engineering Science",0.4530873070489709
300,Micrology and Boichemistry,413,Botany and Plant Biology,0.43997517634864886
507,International Business Management and Human Behavior,511,Marketing and Consumer Psychology,0.4243338328016237
306,Infectious Diseases and Virology,303,Immunology and Rheumatology,0.39889589617284144
200,Analytical Chemistry,204,Nanotechnology and Materical Chemistry,0.3965886239444597
403,Biochemical and Ecologyical Engineering,300,Micrology and Boichemistry,0.39221039092654447
108,Hematology,303,Immunology and Rheumatology,0.3888746098331024
300,Micrology and Boichemistry,202,"Physical, Mathematical and Engineering Science",0.3813272094766861
403,Biochemical and Ecologyical Engineering,204,Nanotechnology and Materical Chemistry,0.3792896282264124
300,Micrology and Boichemistry,305,Reproductive Endorinology and Metabolism,0.3670981994113549
301,"Cellular, Molecular and Genetic Boilogy",406,"Biogeography, Ecology and Biology",0.3627737279169867
301,"Cellular, Molecular and Genetic Boilogy",413,Botany and Plant Biology,0.345372156203986
407,Neurological Science,302,"Neuroscience, Cytology and Brain Science",0.34397009961489033
414,Chemical and Physical Engineering,204,Nanotechnology and Materical Chemistry,0.316394200902532
408,Marine Biology and Ecology,406,"Biogeography, Ecology and Biology",0.3051392848817773
203,Polymer and Pharmaceutical Science,202,"Physical, Mathematical and Engineering Science",0.29499222776786377
304,Nephrology and Biochemistry,305,Reproductive Endorinology and Metabolism,0.2930366876570109
104,Pathology and Oncology,301,"Cellular, Molecular and Genetic Boilogy",0.281413670958359
502,Psychiatry,302,"Neuroscience, Cytology and Brain Science",0.28023984471730656
305,Reproductive Endorinology and Metabolism,301,"Cellular, Molecular and Genetic Boilogy",0.27079944867788597
413,Botany and Plant Biology,406,"Biogeography, Ecology and Biology",0.2626368199788488
301,"Cellular, Molecular and Genetic Boilogy",204,Nanotechnology and Materical Chemistry,0.26115975157422583
205,Organometallic and Medicinal Chemistry,300,Micrology and Boichemistry,0.2557122803193656
202,"Physical, Mathematical and Engineering Science",1,Applied Algebra and Methematic,0.24687285518735635
300,Micrology and Boichemistry,104,Pathology and Oncology,0.23981844258267776
300,Micrology and Boichemistry,1,Applied Algebra and Methematic,0.23168027721456122
300,Micrology and Boichemistry,108,Hematology,0.22238191549062367
109,Heart and Cardiology,102,Pharmacy and Public Health,0.21878312654042523
